Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,29,29,13,41,48,96,70,36,1856000,1856000000,13000000000,0,0,6144000,4480000000,36000000000,1069.48,3065.52,11912.08,1783.85,1483.23,3387.9,2209.61,7761.47,1069.45,308.69,452.08,1783.85,1483.23,3387.4,1751.47,1397.97,0.1,0.1,0.04,0.14,0.16,0.33,0.24,0.12,6320.16,6281894.12,43873360.86,0,0,20899.42,15229580.17,121757553.71,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,40,46,25,77,65,127,130,69,2560000,2944000000,25000000000,0,0,8128000,8320000000,69000000000,2487.22,4597.35,15682.32,2348.68,3241.91,2135.69,3421.28,8090.96,2487.1,686.37,613.4,2348.68,3241.91,2135.24,3026.11,1739.81,0.07,0.08,0.04,0.13,0.11,0.21,0.22,0.12,4321.49,4969501.95,42150794.91,0,0,13726.36,14058781.45,116482740.98,100%
100%
100%
100%
100%
100%
100%
100%
