Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,86,95,40,103,106,258,261,119,5504000,6080000000,40000000000,0,0,16512000,16704000000,119000000000,93.73,782.69,7764.55,22.39,46.2,40.47,426.43,5560.18,93.64,362.95,401.73,22.39,46.2,40.24,57.83,64.08,0.29,0.32,0.14,0.35,0.36,0.87,0.88,0.4,18595.8,20546534.36,135143945.92,0,0,55794.37,56454336.57,402099684.68,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,177,193,67,208,189,493,508,238,11328000,12352000000,67000000000,0,0,31552000,32512000000,238000000000,140.05,903.54,9539.72,16.38,47.78,35.37,419.62,5422.31,139.93,389.97,516.13,16.38,47.78,35.16,40.46,79.34,0.3,0.33,0.11,0.35,0.32,0.83,0.86,0.4,19100.66,20826110.87,113008604.15,0,0,53203.02,54826718.26,401290327.97,100%
100%
100%
100%
100%
100%
100%
100%
