Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,102,89,30,120,80,248,266,129,6528000,5696000000,30000000000,0,0,15872000,17024000000,129000000000,99.49,774.78,7722.9,39.46,54.84,33.6,493.59,5684.31,99.38,326.13,391.8,39.46,54.84,32.53,60.5,92.27,0.34,0.3,0.1,0.4,0.27,0.83,0.89,0.43,21900.76,19092752,100548667.64,0,0,53183.4,57066374.58,432617487.09,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,146,138,84,184,191,426,420,200,9344000,8832000000,84000000000,0,0,27264000,26880000000,200000000000,164.36,858.89,10189.39,14.48,49.98,18.82,462.15,5837.67,164.29,443.94,563.95,14.48,49.98,18.07,50.91,77.08,0.25,0.23,0.14,0.31,0.32,0.72,0.71,0.34,15703.62,14842594,141134761.38,0,0,45826.3,45169829.87,336080979.35,100%
100%
100%
100%
100%
100%
100%
100%
