Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,71,81,39,75,86,195,212,99,4544000,5184000000,39000000000,0,0,12480000,13568000000,99000000000,365.24,735.89,8348.13,266.33,52.42,32.42,675.33,6058.27,365.14,331.31,511.95,266.33,52.42,31.17,252.76,72.58,0.24,0.27,0.13,0.25,0.29,0.66,0.72,0.33,15351.7,17517864.8,132020000.58,0,0,42097.46,45809590.45,333800893.57,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,156,164,70,175,170,437,486,227,9984000,10496000000,70000000000,0,0,27968000,31104000000,227000000000,164.63,771.66,9940.34,11.87,59.76,23.33,452.5,5697.38,164.59,345.51,582.34,11.86,59.76,22.64,58.5,60.05,0.26,0.28,0.12,0.29,0.29,0.73,0.82,0.38,16741.37,17613416.17,117488724.85,0,0,46930.7,52203649.63,380848399.5,100%
100%
100%
100%
100%
100%
100%
100%
