Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
init,write,0,0,N/A,N/A,0,0,N/A
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,73,51,31,70,75,178,176,83,4672000,3264000000,31000000000,0,0,11392000,11264000000,83000000000,131.37,920.16,11139.42,22.4,73.52,47.03,621.06,7921.16,131.32,379.47,373.94,22.4,73.52,46.85,69.57,114.25,0.25,0.17,0.1,0.24,0.25,0.6,0.59,0.28,15805.38,11032714.84,104662289.73,0,0,38480.36,38071489.78,280375500.83,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,133,145,59,188,201,435,389,188,8512000,9280000000,59000000000,0,0,27840000,24896000000,188000000000,77.41,902.14,11874,41.18,70.15,32.14,531.88,6935.57,77.36,379.5,613.73,41.18,70.15,31.52,76.54,72.35,0.22,0.24,0.1,0.31,0.34,0.73,0.65,0.31,14257.73,15539685.94,98835729.13,0,0,46616.82,41684865.86,314832262.45,100%
100%
100%
100%
100%
100%
100%
100%
