Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
delete,delete,52,0,57.92,57.92,0.09,0,100%
read,read,122,7808000,44.63,42.69,0.21,13289.53,100%
read,read,117,7488000000,581.55,47.12,0.2,12744881.11,100%
read,read,45,45000000000,7880.16,79.49,0.08,76591833.61,100%
write,write,30,1920000,83.53,83.53,0.05,3205.17,100%
write,write,31,1984000000,932,363.9,0.05,3312010.04,100%
write,write,14,14000000000,10651.86,781.21,0.02,23371038.61,100%
list,list,30,0,16.6,16.6,0.05,0,100%
delete,delete,36,0,60.81,60.81,0.06,0,100%
read,read,72,4608000,26.82,26.51,0.12,7692.41,100%
read,read,74,4736000000,652.15,62.65,0.12,7906088.49,100%
read,read,45,45000000000,8124.49,90.82,0.08,75121195.53,100%
write,write,36,2304000,75.83,75.72,0.06,3845.81,100%
write,write,34,2176000000,945.76,417.65,0.06,3632151.22,100%
write,write,14,14000000000,12206.71,845.21,0.02,23368619.95,100%
list,list,37,0,16.89,16.89,0.06,0,100%
delete,delete,45,0,51.49,51.49,0.08,0,100%
read,read,91,5824000,44.1,43.85,0.15,9721.35,100%
read,read,100,6400000000,521.37,57.9,0.17,10682797.69,100%
read,read,44,44000000000,7595.09,84.73,0.07,73444234.13,100%
write,write,34,2176000,158.82,158.76,0.06,3641.62,100%
write,write,29,1856000000,1048.9,625.55,0.05,3106089.01,100%
write,write,17,17000000000,10992.76,286.41,0.03,28450168.69,100%
list,list,40,0,21.02,21,0.07,0,100%
delete,delete,53,0,51.85,51.85,0.09,0,100%
read,read,113,7232000,52.67,50.72,0.19,12103.04,100%
read,read,112,7168000000,514.77,51.94,0.19,11995929.95,100%
read,read,48,48000000000,6408.69,62.69,0.08,80329888.07,100%
write,write,25,1600000,250.04,249.96,0.04,2685.41,100%
write,write,25,1600000000,1354.2,760.28,0.04,2685406.33,100%
write,write,14,14000000000,12216.07,345.57,0.02,23497305.36,100%
list,list,37,0,90.19,90.19,0.06,0,100%
delete,delete,35,0,48.34,48.34,0.06,0,100%
read,read,75,4800000,89.04,88.76,0.13,8056.22,100%
read,read,89,5696000000,529.15,45.28,0.15,9560046.52,100%
read,read,50,50000000000,6517.24,145.9,0.08,83918947.72,100%
write,write,38,2432000,270.5,270.45,0.06,4078.37,100%
write,write,31,1984000000,916,344,0.05,3327095.03,100%
write,write,16,16000000000,12427.94,611.5,0.03,26831411.53,100%
list,list,32,0,15.56,15.56,0.05,0,100%
delete,delete,43,0,53.7,53.7,0.07,0,100%
read,read,94,6016000,26.22,23.84,0.16,10088.61,100%
read,read,90,5760000000,448.71,51.92,0.15,9659308.15,100%
read,read,45,45000000000,6957.82,84.62,0.08,75463344.94,100%
write,write,41,2624000,233.34,233.17,0.07,4397.36,100%
write,write,38,2432000000,925.68,412.89,0.06,4075599.69,100%
write,write,15,15000000000,12711.67,717.27,0.03,25137333.63,100%
list,list,36,0,17.47,17.44,0.06,0,100%
delete,delete,41,0,56.85,56.85,0.07,0,100%
read,read,84,5376000,21.87,21.61,0.14,9009.22,100%
read,read,82,5248000000,570.73,68.87,0.14,8794715.13,100%
read,read,45,45000000000,6881.58,66.8,0.08,75412000.9,100%
