Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,11,11000000000,9503.82,436.64,0.02,18523008.94,100%
list,list,61,0,15.41,15.41,0.1,0,100%
delete,delete,54,0,51.57,51.57,0.09,0,100%
read,read,129,8256000,30.73,30.51,0.22,13902.36,100%
read,read,126,8064000000,477.59,37.35,0.21,13579049.47,100%
read,read,68,68000000000,5346.94,72.07,0.11,114505873.48,100%
write,write,38,2432000,180.37,180.29,0.06,4107.94,100%
write,write,37,2368000000,862.11,437.97,0.06,3999837.84,100%
write,write,20,20000000000,10935.25,836.85,0.03,33782414.23,100%
list,list,44,0,14.84,14.84,0.07,0,100%
delete,delete,42,0,44.69,44.69,0.07,0,100%
read,read,103,6592000,23.99,23.81,0.17,11134.68,100%
read,read,122,7808000000,348.25,50.92,0.21,13188654.51,100%
read,read,51,51000000000,5628.31,117.08,0.09,86145156.28,100%
write,write,39,2496000,297.28,297.13,0.07,4205.18,100%
write,write,49,3136000000,860.2,285.08,0.08,5283437.2,100%
write,write,17,17000000000,8830.59,255.82,0.03,28641081.76,100%
list,list,62,0,24.9,24.9,0.1,0,100%
delete,delete,40,0,45.42,45.42,0.07,0,100%
read,read,125,8000000,23,22.78,0.21,13478.16,100%
read,read,119,7616000000,445.85,39.56,0.2,12831204.63,100%
read,read,63,63000000000,5243.7,57.27,0.11,106140479.45,100%
write,write,46,2944000,63.61,63.52,0.08,4967.94,100%
write,write,50,3200000000,918.58,444,0.08,5399932.5,100%
write,write,19,19000000000,8726,457.47,0.03,32062099.22,100%
list,list,41,0,6.56,6.56,0.07,0,100%
delete,delete,53,0,48.13,48.13,0.09,0,100%
read,read,136,8704000,59.77,59.56,0.23,14687.82,100%
read,read,141,9024000000,407.44,34.94,0.24,15227809.65,100%
read,read,56,56000000000,5527.14,78.61,0.09,94498818.76,100%
write,write,49,3136000,136.29,136.22,0.08,5252.63,100%
write,write,35,2240000000,852.83,358.51,0.06,3751880.13,100%
write,write,16,16000000000,9940.88,940.75,0.03,26799143.77,100%
list,list,56,0,9.86,9.86,0.09,0,100%
delete,delete,46,0,58.46,58.46,0.08,0,100%
read,read,107,6848000,25.06,24.83,0.18,11470.03,100%
read,read,140,8960000000,444.22,46.36,0.23,15007520.51,100%
read,read,60,60000000000,5555.07,53.48,0.1,100496789.13,100%
write,write,35,2240000,194.94,194.91,0.06,3751.01,100%
write,write,39,2496000000,917,426.41,0.07,4179700.32,100%
write,write,18,18000000000,9772.67,262.78,0.03,30142069.62,100%
list,list,29,0,6.24,6.17,0.05,0,100%
delete,delete,43,0,67.26,67.26,0.07,0,100%
read,read,90,5760000,28.93,26.46,0.15,9645.46,100%
read,read,95,6080000000,384.26,45.58,0.16,10181321.29,100%
read,read,58,58000000000,5800.91,58.05,0.1,97124446.56,100%
write,write,25,1600000,129,128.96,0.04,2700.15,100%
write,write,43,2752000000,593.07,238.09,0.07,4644263.27,100%
write,write,20,20000000000,10317.8,668.9,0.03,33751913.31,100%
list,list,41,0,11.66,11.66,0.07,0,100%
delete,delete,37,0,64.59,64.59,0.06,0,100%
read,read,111,7104000,19.66,19.46,0.19,11988.68,100%
read,read,136,8704000000,439.9,73.12,0.23,14688832.67,100%
read,read,53,53000000000,5520.02,68.94,0.09,89442570.28,100%
write,write,47,3008000,190.57,190.53,0.08,5037.57,100%
write,write,47,3008000000,754,366.98,0.08,5037572.45,100%
write,write,16,16000000000,9656.62,475.25,0.03,26795598.15,100%
list,list,49,0,17.67,17.67,0.08,0,100%
delete,delete,44,0,49.73,49.73,0.07,0,100%
read,read,129,8256000,21.14,20.91,0.22,13826.53,100%
read,read,115,7360000000,533.85,66.65,0.19,12325975.15,100%
read,read,56,56000000000,5910.5,60.73,0.09,93784593.54,100%
write,write,40,2560000,119.25,119.17,0.07,4267.93,100%
write,write,39,2496000000,754.92,335.9,0.07,4161227.56,100%
write,write,16,16000000000,10589.75,977.56,0.03,26674535.65,100%
list,list,47,0,58,58,0.08,0,100%
delete,delete,49,0,46.29,46.29,0.08,0,100%
read,read,130,8320000,59.62,59.36,0.22,13870.76,100%
read,read,119,7616000000,475.22,43.87,0.2,12697078.97,100%
read,read,59,59000000000,5539.49,63.05,0.1,98362350.23,100%
write,write,28,1792000,152.89,152.82,0.05,3009.69,100%
write,write,37,2368000000,794.24,302.7,0.06,3977091.42,100%
write,write,16,16000000000,9961.56,467.25,0.03,26872239.3,100%
list,list,28,0,14.89,14.89,0.05,0,100%
delete,delete,36,0,61.64,61.64,0.06,0,100%
read,read,81,5184000,10.31,10.06,0.14,8706.61,100%
read,read,110,7040000000,424.35,64.87,0.18,11823785.29,100%
read,read,59,59000000000,5969.17,72.93,0.1,99091382.41,100%
write,write,33,2112000,153.3,153.27,0.06,3521.21,100%
write,write,35,2240000000,727.54,390.29,0.06,3734621.78,100%
write,write,17,17000000000,11564.71,1044.24,0.03,28343111.71,100%
list,list,55,0,28.15,28.15,0.09,0,100%
delete,delete,36,0,50.83,50.83,0.06,0,100%
read,read,141,9024000,58.22,58.02,0.24,15045.19,100%
read,read,130,8320000000,397.03,44.75,0.22,13871452.32,100%
read,read,51,51000000000,6067.2,63.71,0.09,85029335.12,100%
write,write,29,1856000,38.72,38.62,0.05,3191.17,100%
write,write,46,2944000000,904.04,511.93,0.08,5061863.4,100%
write,write,17,17000000000,9765.06,632.06,0.03,29229510.11,100%
list,list,54,0,63.65,63.65,0.09,0,100%
delete,delete,41,0,55.51,55.51,0.07,0,100%
read,read,119,7616000,20.54,20.28,0.2,13094.82,100%
read,read,99,6336000000,411.56,45.08,0.17,10894010.36,100%
read,read,56,56000000000,5784.7,54.55,0.1,96285445.08,100%
write,write,34,2176000,278.5,278.44,0.06,3721.29,100%
write,write,29,1856000000,791.9,286.52,0.05,3174043.98,100%
write,write,13,13000000000,12681.31,489.92,0.02,22231989.1,100%
list,list,43,0,31.79,31.79,0.07,0,100%
delete,delete,56,0,54.88,54.88,0.1,0,100%
read,read,96,6144000,31.59,31.31,0.16,10507.18,100%
read,read,98,6272000000,511.04,51.62,0.17,10726079.66,100%
read,read,50,50000000000,6597.28,62.82,0.09,85507650.37,100%
write,write,17,1088000,142.18,142.12,0.03,1815.18,100%
write,write,36,2304000000,895.53,418.58,0.06,3843920.8,100%
write,write,14,14000000000,12886.43,421.29,0.02,23357157.63,100%
list,list,34,0,26.06,26.06,0.06,0,100%
delete,delete,44,0,61.25,61.25,0.07,0,100%
read,read,93,5952000,31.63,29.23,0.16,9930.13,100%
read,read,110,7040000000,498.33,65.57,0.18,11745313.55,100%
read,read,45,45000000000,7176.53,105.93,0.08,75076578.11,100%
write,write,36,2304000,81.81,81.78,0.06,3844.43,100%
write,write,20,1280000000,856.85,404.95,0.03,2135796.62,100%
write,write,14,14000000000,12519.71,616.71,0.02,23360275.52,100%
list,list,45,0,18.67,18.67,0.08,0,100%
delete,delete,31,0,56.97,56.97,0.05,0,100%
read,read,94,6016000,27.98,25.63,0.16,10038.24,100%
read,read,70,4480000000,609.51,66.86,0.12,7475288.17,100%
read,read,50,50000000000,7120.12,83.08,0.08,83429555.42,100%
write,write,27,1728000,82.59,82.56,0.05,2906.43,100%
write,write,18,1152000000,876.72,296.67,0.03,1937619.42,100%
write,write,14,14000000000,12697.86,781.86,0.02,23547458.22,100%
list,list,22,0,18,18,0.04,0,100%
delete,delete,36,0,67.75,67.75,0.06,0,100%
read,read,68,4352000,56.84,53.63,0.11,7319.9,100%
read,read,77,4928000000,575.88,63.68,0.13,8288705.29,100%
read,read,45,45000000000,7726.78,83.29,0.08,75688258.56,100%
write,write,22,1408000,67.27,67.23,0.04,2356.7,100%
write,write,41,2624000000,1314.78,548.22,0.07,4392036.09,100%
write,write,14,14000000000,10589,467.57,0.02,23433119.37,100%
list,list,38,0,17.26,17.26,0.06,0,100%
delete,delete,48,0,50.15,50.15,0.08,0,100%
read,read,110,7040000,40.81,40.54,0.18,11783.51,100%
read,read,91,5824000000,573.49,58.12,0.15,9748177.66,100%
read,read,46,46000000000,7261.8,81.37,0.08,76994535.06,100%
write,write,24,1536000,129.92,129.83,0.04,2602.82,100%
write,write,35,2240000000,1117.06,350.49,0.06,3795780.24,100%
write,write,16,16000000000,11394.12,418.38,0.03,27112716.03,100%
list,list,31,0,25.42,25.39,0.05,0,100%
delete,delete,46,0,57.8,57.8,0.08,0,100%
read,read,91,5824000,44.9,42.4,0.15,9869.03,100%
read,read,86,5504000000,639.87,59.85,0.15,9326774.32,100%
read,read,41,41000000000,7390.61,86.29,0.07,69476334.84,100%
write,write,34,2176000,112.53,112.47,0.06,3660.69,100%
write,write,26,1664000000,1011.46,528.19,0.04,2799348.61,100%
write,write,16,16000000000,10855.25,497.75,0.03,26916813.59,100%
list,list,43,0,25.95,25.95,0.07,0,100%
delete,delete,41,0,63.05,63.05,0.07,0,100%
read,read,82,5248000,27.66,27.45,0.14,8828.71,100%
read,read,90,5760000000,501.44,59.12,0.15,9690052.89,100%
read,read,43,43000000000,7894.93,72.44,0.07,72338936.52,100%
write,write,47,3008000,82.32,82.32,0.08,5045.33,100%
write,write,31,1984000000,1083.87,599.13,0.05,3327770.28,100%
write,write,15,15000000000,11867.6,817.07,0.03,25159553.5,100%
list,list,38,0,16.84,16.84,0.06,0,100%
delete,delete,30,0,59.43,59.43,0.05,0,100%
read,read,98,6272000,36.58,36.38,0.16,10520.05,100%
read,read,85,5440000000,572.31,100.36,0.14,9124531.4,100%
read,read,44,44000000000,7409.8,76.07,0.07,73801356.94,100%
