Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,89,96,50,117,93,231,227,112,5696000,6144000000,50000000000,0,0,14784000,14528000000,112000000000,79.49,751.25,7422.02,16.1,63.52,25.41,425.41,5647.99,79.37,333.01,447.2,16.1,63.52,25.17,49.21,70.93,0.3,0.32,0.17,0.39,0.31,0.77,0.76,0.38,19083.21,20591301.18,167680075.69,0,0,49589.7,48712340.11,375308989.96,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,185,162,69,201,194,521,482,262,11840000,10368000000,69000000000,0,0,33344000,30848000000,262000000000,94.3,811.15,9560.14,33.32,59.11,32.74,369.05,5184.79,94.24,398.17,568.68,33.32,59.11,31.75,37.92,53.93,0.31,0.27,0.12,0.34,0.33,0.88,0.81,0.44,19907.05,17423306.11,115910883.55,0,0,56029.87,51848196.58,440364645.44,100%
100%
100%
100%
100%
100%
100%
100%
