Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,14,14000000000,8486.79,488.07,0.05,48116744.97,100%
list,list,17,0,14.41,14.41,0.06,0,100%
delete,delete,18,0,46.89,46.89,0.06,0,100%
read,read,43,2752000,35.21,35.14,0.15,9458.38,100%
read,read,54,3456000000,808.35,415.67,0.19,11877962.19,100%
read,read,20,20000000000,5385.1,66.85,0.07,68738207.1,100%
write,write,18,1152000,1108.28,1108.06,0.06,3869.86,100%
write,write,14,896000000,684.64,265.14,0.05,3009893.01,100%
write,write,10,10000000000,8125.1,386,0.03,33592555.89,100%
list,list,19,0,34.32,34.32,0.06,0,100%
delete,delete,19,0,60.95,60.95,0.06,0,100%
read,read,43,2752000,48.28,47.98,0.14,9244.67,100%
read,read,57,3648000000,487.37,54.09,0.19,12254564.39,100%
read,read,22,22000000000,7054.45,79.86,0.07,73903622.96,100%
write,write,12,768000,53,52.92,0.04,2576.37,100%
write,write,16,1024000000,603.94,283.06,0.05,3435158.04,100%
write,write,10,10000000000,8919.4,809.4,0.03,33546465.21,100%
list,list,17,0,30.71,30.71,0.06,0,100%
delete,delete,22,0,50.09,50.09,0.07,0,100%
read,read,43,2752000,23.4,18.51,0.14,9231.99,100%
read,read,37,2368000000,1107.97,598.49,0.12,7943802.96,100%
read,read,26,26000000000,5959.58,54.73,0.09,87220809.54,100%
write,write,21,1344000,198.14,198.1,0.07,4506.23,100%
write,write,27,1728000000,866.19,447.89,0.09,5793719.45,100%
write,write,5,5000000000,7263.4,235.8,0.02,16764234.51,100%
list,list,22,0,843.45,843.45,0.07,0,100%
delete,delete,27,0,52,52,0.09,0,100%
read,read,66,4224000,26.14,25.88,0.22,14162.43,100%
read,read,64,4096000000,480.38,92.39,0.21,13733260.91,100%
read,read,31,31000000000,5868.39,86.06,0.1,103938253.97,100%
write,write,18,1152000,30.78,30.72,0.06,3881.94,100%
write,write,12,768000000,759.67,265.92,0.04,2587958.58,100%
write,write,6,6000000000,7116.83,300,0.02,20218426.4,100%
list,list,26,0,26.96,26.92,0.09,0,100%
delete,delete,22,0,70.64,70.64,0.07,0,100%
read,read,52,3328000,30.27,29.92,0.18,11214.49,100%
read,read,42,2688000000,933.86,510.52,0.14,9057855.03,100%
read,read,32,32000000000,6291.22,66.25,0.11,107831607.47,100%
write,write,17,1088000,46.47,46.41,0.06,3632.68,100%
write,write,15,960000000,887.13,441.87,0.05,3205310.13,100%
write,write,13,13000000000,8712.77,661.92,0.04,43405241.35,100%
list,list,29,0,22.76,22.76,0.1,0,100%
delete,delete,21,0,51.9,51.9,0.07,0,100%
read,read,43,2752000,38.93,38.67,0.14,9188.56,100%
read,read,39,2496000000,868.36,538.97,0.13,8333806.34,100%
read,read,22,22000000000,6128.14,63.82,0.07,73455023.82,100%
write,write,20,1280000,66,65.85,0.07,4414.46,100%
write,write,18,1152000000,924.11,296,0.06,3973016.6,100%
write,write,7,7000000000,8963.86,800.29,0.02,24141593.9,100%
list,list,26,0,25.92,25.92,0.09,0,100%
delete,delete,21,0,49.9,49.9,0.07,0,100%
read,read,40,2560000,23.07,22.93,0.14,8828.93,100%
read,read,46,2944000000,911.57,469.87,0.16,10153264.63,100%
read,read,24,24000000000,6860,75.75,0.08,82771179.08,100%
write,write,22,1408000,156.5,156.36,0.07,4714.71,100%
write,write,19,1216000000,1014.95,333,0.06,4071792.12,100%
write,write,8,8000000000,7670.12,311.75,0.03,26788106.08,100%
list,list,20,0,28.95,28.95,0.07,0,100%
delete,delete,29,0,45.62,45.62,0.1,0,100%
read,read,69,4416000,26.45,26.25,0.23,14787.03,100%
read,read,80,5120000000,646.51,282.54,0.27,17144387.89,100%
read,read,27,27000000000,5891.48,98.56,0.09,90409858.02,100%
write,write,11,704000,91.91,91.73,0.04,2353.37,100%
write,write,18,1152000000,873.22,304.67,0.06,3850975.28,100%
write,write,3,3000000000,9820.33,343.67,0.01,10028581.46,100%
list,list,27,0,21.44,21.44,0.09,0,100%
delete,delete,20,0,98.25,98.25,0.07,0,100%
read,read,48,3072000,39.73,39.6,0.16,10269.27,100%
read,read,46,2944000000,662.7,70.11,0.15,9841381.27,100%
read,read,26,26000000000,8383.62,122.08,0.09,86914372.63,100%
write,write,14,896000,134.29,134.21,0.05,2986.97,100%
write,write,17,1088000000,1033.41,315.88,0.06,3627029.37,100%
write,write,9,9000000000,10921.89,555.11,0.03,30003000.3,100%
list,list,20,0,37.05,37.05,0.07,0,100%
delete,delete,13,0,56.31,56.31,0.04,0,100%
read,read,46,2944000,46.78,46.54,0.15,9814.31,100%
read,read,33,2112000000,523.64,107.3,0.11,7040704.07,100%
read,read,20,20000000000,8065.1,87,0.07,66673334,100%
write,write,13,832000,92.77,92.69,0.04,2823.77,100%
write,write,7,448000000,1128.29,542.71,0.02,1520489.27,100%
write,write,9,9000000000,10435.11,584.44,0.03,30545543.41,100%
list,list,12,0,41.67,41.67,0.04,0,100%
delete,delete,14,0,87.93,87.93,0.05,0,100%
read,read,36,2304000,40.28,40.11,0.12,7819.66,100%
read,read,37,2368000000,588.03,70.95,0.13,8036871.86,100%
read,read,20,20000000000,8333.35,95.4,0.07,67878985.34,100%
write,write,6,384000,177.67,177.67,0.02,1313.52,100%
write,write,15,960000000,991.13,350.2,0.05,3283802.64,100%
write,write,5,5000000000,10515.2,295.8,0.02,17103138.77,100%
list,list,18,0,26.33,26.33,0.06,0,100%
delete,delete,20,0,68.75,68.75,0.07,0,100%
read,read,46,2944000,39.63,35.09,0.16,10070.33,100%
read,read,44,2816000000,612.18,76.41,0.15,9632487.75,100%
read,read,25,25000000000,7727.72,108.88,0.09,85515693.84,100%
write,write,14,896000,82.14,82,0.05,3002.11,100%
write,write,19,1216000000,914.47,399.16,0.06,4074288.76,100%
write,write,5,5000000000,12157.8,401.6,0.02,16752832.07,100%
list,list,13,0,21,21,0.04,0,100%
delete,delete,19,0,100.42,100.42,0.06,0,100%
read,read,39,2496000,60.13,59.87,0.13,8363.01,100%
read,read,46,2944000000,645.98,68.33,0.15,9864067.52,100%
read,read,23,23000000000,8037.74,92.3,0.08,77063027.5,100%
write,write,12,768000,154.5,154.5,0.04,2560.07,100%
write,write,10,640000000,795.9,274.9,0.03,2133390.22,100%
write,write,4,4000000000,12277.25,739,0.01,13333688.9,100%
list,list,10,0,52.9,52.9,0.03,0,100%
delete,delete,24,0,68.38,68.38,0.08,0,100%
read,read,46,2944000,40.78,40.57,0.15,9813.6,100%
read,read,36,2304000000,642.36,71.14,0.12,7680204.81,100%
read,read,28,28000000000,7638.07,99.79,0.09,93335822.29,100%
write,write,13,832000,325.54,325.46,0.04,2814.57,100%
write,write,10,640000000,895.8,474.6,0.03,2165051.34,100%
write,write,7,7000000000,11021,639,0.02,23680248.98,100%
list,list,20,0,50,50,0.07,0,100%
delete,delete,18,0,62.11,62.11,0.06,0,100%
read,read,40,2560000,42.33,42.08,0.14,8660.21,100%
read,read,46,2944000000,650.59,71.2,0.16,9959236.14,100%
read,read,22,22000000000,7795.55,88.27,0.07,74423639.65,100%
write,write,17,1088000,84.71,84.59,0.06,3627.23,100%
write,write,13,832000000,833.08,325.15,0.04,2773767.89,100%
write,write,7,7000000000,10730.57,292.57,0.02,23336989.46,100%
list,list,19,0,30.11,30.11,0.06,0,100%
delete,delete,12,0,62.83,62.83,0.04,0,100%
read,read,39,2496000,82.54,82.26,0.13,8321.3,100%
read,read,45,2880000000,733.31,183,0.15,9601504.24,100%
read,read,22,22000000000,7954.05,100.5,0.07,73344824.02,100%
