Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,12,12000000000,9169.33,82.42,0.04,41200302.14,100%
write,write,15,960000,98.27,98.13,0.05,3212.98,100%
write,write,13,832000000,793.15,276.69,0.04,2784583.05,100%
write,write,7,7000000000,10163.43,388,0.02,23427982.38,100%
list,list,24,0,68.62,68.62,0.08,0,100%
delete,delete,16,0,69.25,69.25,0.05,0,100%
read,read,39,2496000,31.33,31.18,0.13,8353.75,100%
read,read,48,3072000000,590.42,83.56,0.16,10281537.41,100%
read,read,25,25000000000,7340.76,90.04,0.08,83671365.65,100%
write,write,19,1216000,174.37,174.37,0.07,4173.69,100%
write,write,9,576000000,1160.56,379.67,0.03,1977010.39,100%
write,write,8,8000000000,10222.38,324.75,0.03,27458477.63,100%
list,list,16,0,21.38,21.38,0.05,0,100%
delete,delete,10,0,57.6,57.6,0.03,0,100%
read,read,38,2432000,35.5,35.29,0.13,8347.38,100%
read,read,40,2560000000,631.08,52.43,0.14,8786712.84,100%
read,read,22,22000000000,7648.73,85.14,0.08,75510813.49,100%
write,write,11,704000,98.36,98.27,0.04,2353.27,100%
write,write,9,576000000,963,495.56,0.03,1925403.97,100%
write,write,10,10000000000,10744.2,442.4,0.03,33427152.21,100%
list,list,26,0,49.54,49.54,0.09,0,100%
delete,delete,23,0,110.09,110.09,0.08,0,100%
read,read,56,3584000,34.41,34.29,0.19,11980.29,100%
read,read,58,3712000000,509.53,65.09,0.19,12408158.9,100%
read,read,20,20000000000,7331.85,81.65,0.07,66854304.41,100%
write,write,15,960000,111.47,111.47,0.05,3285,100%
write,write,9,576000000,1130.22,574.11,0.03,1971002.99,100%
write,write,6,6000000000,12007.67,817.17,0.02,20531281.12,100%
list,list,28,0,46.21,46.18,0.1,0,100%
delete,delete,20,0,78.1,78.1,0.07,0,100%
read,read,46,2944000,50.39,50.17,0.16,10074.02,100%
read,read,50,3200000000,704.48,173.12,0.17,10950016.6,100%
read,read,21,21000000000,7996.19,196.33,0.07,71859483.91,100%
write,write,15,960000,187.27,187.2,0.05,3213.71,100%
write,write,19,1216000000,667.95,306.42,0.06,4070701.66,100%
write,write,9,9000000000,8426.11,278.22,0.03,30128548.47,100%
list,list,20,0,88.45,88.45,0.07,0,100%
delete,delete,17,0,46.88,46.88,0.06,0,100%
read,read,55,3520000,31.89,31.76,0.18,11783.61,100%
read,read,52,3328000000,484.77,80.54,0.17,11140867.7,100%
read,read,31,31000000000,5736.16,89.65,0.1,103776111.41,100%
write,write,11,704000,52.09,52.09,0.04,2394.09,100%
write,write,17,1088000000,665.71,315.12,0.06,3699962.93,100%
write,write,10,10000000000,9809.4,345.2,0.03,34007012.25,100%
list,list,22,0,17.23,17.23,0.07,0,100%
delete,delete,14,0,43.64,43.64,0.05,0,100%
read,read,36,2304000,95.78,95.64,0.12,7835.22,100%
read,read,25,1600000000,467.76,54.68,0.09,5441121.96,100%
read,read,29,29000000000,5790.14,65.07,0.1,98620335.51,100%
write,write,16,1024000,173.88,173.75,0.05,3439.1,100%
write,write,23,1472000000,1093.04,539.17,0.08,4943711.55,100%
write,write,6,6000000000,7631,209.83,0.02,20150998.15,100%
list,list,20,0,7.15,7.15,0.07,0,100%
delete,delete,20,0,47.85,47.85,0.07,0,100%
read,read,62,3968000,28.42,28.18,0.21,13326.53,100%
read,read,48,3072000000,457.1,93.21,0.16,10317311.05,100%
read,read,34,34000000000,5859.24,67.5,0.11,114188989.49,100%
write,write,23,1472000,134.3,134.17,0.08,4911.32,100%
write,write,21,1344000000,742.29,343.62,0.07,4484245.09,100%
write,write,6,6000000000,9169,756.5,0.02,20018951.27,100%
list,list,21,0,27.76,27.76,0.07,0,100%
delete,delete,26,0,44.92,44.92,0.09,0,100%
read,read,70,4480000,22.4,22.17,0.23,14947.48,100%
read,read,51,3264000000,463.41,68.73,0.17,10890309.49,100%
read,read,32,32000000000,6220.41,85.06,0.11,106767740.13,100%
write,write,24,1536000,133.62,133.58,0.08,5120.19,100%
write,write,15,960000000,964.4,249.33,0.05,3200117.34,100%
write,write,11,11000000000,7975.82,350.36,0.04,36668011.16,100%
list,list,25,0,14.56,14.56,0.08,0,100%
delete,delete,20,0,55.1,55.1,0.07,0,100%
read,read,57,3648000,35.18,31.39,0.19,12160.45,100%
read,read,68,4352000000,534.63,71.16,0.23,14507198.6,100%
read,read,26,26000000000,5951.12,94.54,0.09,86669844.56,100%
write,write,15,960000,103.07,103.07,0.05,3238.69,100%
write,write,14,896000000,637.64,210.57,0.05,3022778.8,100%
write,write,10,10000000000,7768.2,264.2,0.03,33736370.51,100%
list,list,28,0,32.71,32.71,0.09,0,100%
delete,delete,28,0,47.39,47.39,0.09,0,100%
read,read,55,3520000,28.16,27.98,0.19,11875.2,100%
read,read,72,4608000000,496.46,59.72,0.24,15545719.53,100%
read,read,25,25000000000,6747.64,64.4,0.08,84340926.27,100%
write,write,12,768000,21.42,21.42,0.04,2561.09,100%
write,write,17,1088000000,699.35,283.12,0.06,3628214.7,100%
write,write,8,8000000000,9334,377.62,0.03,26678049.3,100%
list,list,10,0,24.6,24.6,0.03,0,100%
delete,delete,24,0,48.67,48.67,0.08,0,100%
read,read,42,2688000,47.5,47.31,0.14,8963.82,100%
read,read,44,2816000000,430.16,52.64,0.15,9390673.35,100%
read,read,30,30000000000,6356.77,120.83,0.1,100042684.88,100%
write,write,26,1664000,255.73,255.65,0.09,5563.13,100%
write,write,26,1664000000,951.35,569.31,0.09,5563133.54,100%
write,write,10,10000000000,7812.2,322.1,0.03,33432292.92,100%
list,list,22,0,27.32,27.32,0.07,0,100%
delete,delete,16,0,82.38,82.38,0.05,0,100%
read,read,51,3264000,35.86,35.71,0.17,10912.3,100%
read,read,59,3776000000,479.88,90.88,0.2,12624033.81,100%
read,read,26,26000000000,6057.85,76.23,0.09,86923961.59,100%
write,write,21,1344000,106.33,106.24,0.07,4500.39,100%
write,write,16,1024000000,795.94,297.81,0.05,3428866.1,100%
write,write,11,11000000000,8454.73,487.09,0.04,36833522.52,100%
list,list,14,0,64.07,64.07,0.05,0,100%
delete,delete,32,0,65.38,65.38,0.11,0,100%
read,read,47,3008000,32.89,23.98,0.16,10072.29,100%
read,read,52,3328000000,519.17,57.6,0.17,11143814.81,100%
read,read,27,27000000000,5892.78,72.81,0.09,90409555.29,100%
write,write,19,1216000,61.47,61.26,0.06,4073.88,100%
write,write,13,832000000,719.46,362.08,0.04,2787391.08,100%
write,write,8,8000000000,8563.62,458.75,0.03,26801837.27,100%
list,list,16,0,41.75,41.75,0.05,0,100%
delete,delete,29,0,60.97,60.97,0.1,0,100%
read,read,44,2816000,20.93,20.73,0.15,9434.25,100%
read,read,39,2496000000,432.82,55.41,0.13,8362173.23,100%
read,read,31,31000000000,6425.68,77.39,0.1,103857119.41,100%
write,write,16,1024000,82.38,82.31,0.05,3494.08,100%
write,write,13,832000000,792.77,341.31,0.04,2838941.27,100%
write,write,8,8000000000,8568.5,355.12,0.03,27297512.17,100%
list,list,32,0,35,35,0.11,0,100%
delete,delete,25,0,58.08,58.08,0.09,0,100%
read,read,60,3840000,33.42,33.27,0.2,13102.81,100%
read,read,55,3520000000,471.8,67.95,0.19,12010905.36,100%
read,read,27,27000000000,6753.11,78.11,0.09,92129103.58,100%
write,write,16,1024000,311.06,310.94,0.05,3459.25,100%
write,write,20,1280000000,756.8,267.6,0.07,4324061.37,100%
write,write,8,8000000000,7733,265,0.03,27025383.59,100%
list,list,34,0,23.85,23.85,0.11,0,100%
delete,delete,20,0,64.25,64.25,0.07,0,100%
read,read,48,3072000,31.19,30.98,0.16,10377.75,100%
read,read,68,4352000000,480.97,60.26,0.23,14701808.67,100%
read,read,29,29000000000,6127.66,60.66,0.1,97967015.52,100%
write,write,18,1152000,85.94,85.89,0.06,3890.04,100%
write,write,22,1408000000,946.14,439.14,0.07,4754491.95,100%
write,write,11,11000000000,7400.09,199.36,0.04,37144468.34,100%
list,list,27,0,28.04,28.04,0.09,0,100%
delete,delete,30,0,47.13,47.13,0.1,0,100%
read,read,72,4608000,27.43,27.24,0.24,15560.16,100%
read,read,56,3584000000,479.29,70.95,0.19,12102343.14,100%
read,read,28,28000000000,5763.04,69.79,0.09,94549555.79,100%
write,write,22,1408000,63.14,62.95,0.08,4830.93,100%
write,write,24,1536000000,947.5,463.25,0.08,5270110.31,100%
write,write,9,9000000000,7424.89,328.22,0.03,30879552.59,100%
list,list,31,0,53.81,53.81,0.11,0,100%
delete,delete,22,0,48.77,48.77,0.08,0,100%
read,read,64,4096000,54.41,47.89,0.22,14053.63,100%
read,read,68,4352000000,554.09,100.65,0.23,14931979.21,100%
read,read,26,26000000000,6021.96,89.85,0.09,89207596.37,100%
write,write,16,1024000,61.44,61.44,0.05,3430.11,100%
write,write,15,960000000,720.93,326.8,0.05,3215724.89,100%
write,write,6,6000000000,8038.67,623,0.02,20098280.59,100%
list,list,29,0,26.76,26.76,0.1,0,100%
delete,delete,26,0,53.42,53.42,0.09,0,100%
read,read,36,2304000,78.56,78.31,0.12,7717.74,100%
read,read,49,3136000000,435.82,40.67,0.16,10504701.32,100%
read,read,35,35000000000,6061.14,103.71,0.12,117239970.12,100%
write,write,19,1216000,58.95,58.89,0.06,4068.9,100%
write,write,18,1152000000,826.94,514.06,0.06,3854750.85,100%
write,write,9,9000000000,7608.44,550.22,0.03,30115240.99,100%
list,list,26,0,41.77,41.73,0.09,0,100%
delete,delete,25,0,45.08,45.08,0.08,0,100%
read,read,61,3904000,27.8,27.62,0.2,13063.32,100%
read,read,55,3520000000,465.87,49.29,0.18,11778405.36,100%
read,read,28,28000000000,6600.36,103.5,0.09,93691860.85,100%
write,write,20,1280000,73.1,73,0.07,4365.07,100%
write,write,15,960000000,824.73,322.67,0.05,3273802.42,100%
write,write,9,9000000000,8692.67,587.11,0.03,30691897.68,100%
list,list,27,0,17.15,17.15,0.09,0,100%
delete,delete,29,0,60.48,60.48,0.1,0,100%
read,read,65,4160000,57.08,53.69,0.22,14186.48,100%
read,read,65,4160000000,466.22,62.46,0.22,14186477.15,100%
read,read,29,29000000000,5686.45,81.38,0.1,98896114.75,100%
write,write,19,1216000,130,129.84,0.07,4186.22,100%
write,write,23,1472000000,929.65,412.91,0.08,5067526.86,100%
write,write,6,6000000000,9478.5,435.67,0.02,20655680.14,100%
list,list,32,0,40.19,40.19,0.11,0,100%
delete,delete,27,0,52.48,52.48,0.09,0,100%
read,read,58,3712000,41.67,41.36,0.2,12778.98,100%
read,read,71,4544000000,477.51,80.04,0.24,15643235.09,100%
read,read,29,29000000000,5886.1,173.9,0.1,99835787.34,100%
write,write,17,1088000,44.47,44.35,0.06,3676.64,100%
write,write,18,1152000000,834.83,311,0.06,3892917.73,100%
write,write,11,11000000000,8327.27,375.09,0.04,37171957.48,100%
list,list,28,0,31.64,31.64,0.09,0,100%
delete,delete,35,0,49.86,49.86,0.12,0,100%
read,read,70,4480000,26.19,25.97,0.24,15139.12,100%
read,read,63,4032000000,526.75,88.56,0.21,13625212.05,100%
read,read,26,26000000000,5801.88,55.15,0.09,87860990.4,100%
write,write,21,1344000,98.95,98.95,0.07,4505.14,100%
write,write,18,1152000000,687.78,280.94,0.06,3861547.43,100%
write,write,10,10000000000,8866.9,391.1,0.03,33520377.04,100%
list,list,21,0,25.29,25.29,0.07,0,100%
delete,delete,26,0,48.31,48.31,0.09,0,100%
read,read,79,5056000,48.72,48.49,0.26,16947.9,100%
read,read,51,3264000000,468.86,55.92,0.17,10941051.06,100%
read,read,28,28000000000,5914.82,92.32,0.09,93857055.7,100%
write,write,30,1920000,126.9,126.87,0.1,6454.41,100%
write,write,24,1536000000,837.92,331.37,0.08,5163528.55,100%
write,write,5,5000000000,8092.8,381.2,0.02,16808361.15,100%
list,list,32,0,35.19,35.19,0.11,0,100%
delete,delete,25,0,50.04,50.04,0.08,0,100%
read,read,57,3648000,36.07,35.82,0.19,12263.38,100%
read,read,55,3520000000,417.38,55.44,0.18,11833086.25,100%
read,read,35,35000000000,5876,131.89,0.12,117658528.06,100%
write,write,27,1728000,73.26,73.07,0.09,5760.65,100%
