Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:55:59,22,32,14,29,34,81,92,36,1408000,2048000000,14000000000,0,0,5184000,5888000000,36000000000,227.82,2170.66,12716.36,111.86,47.62,24,457.01,6564.42,227.68,559.88,858,111.86,47.62,21.27,53.79,61.83,4.3,6.39,2.94,5.67,6.67,16.68,19.25,7.26,275365.71,408994707.05,2937356931.13,0,0,1067296.73,1232168889.08,7259767777.38,100%,100%,100%,100%,100%,100%,100%,100%,12,12,12
08:56:04,31,29,9,38,33,84,71,38,1984000,1856000000,9000000000,0,0,5376000,4544000000,38000000000,263.55,1053.93,12405,30.63,44.09,45.6,585.1,6565.47,263.48,612.14,847.44,30.63,44.09,42.96,64.08,68.03,6.57,6.06,1.81,7.65,6.79,16.88,13.98,7.65,420271.17,387950388.26,1808309857.72,0,0,1080354.58,894857466.7,7650348732.9,100%,100%,100%,100%,100%,100%,100%,100%,13,13,13
08:56:09,21,28,14,26,29,56,69,31,1344000,1792000000,14000000000,0,0,3584000,4416000000,31000000000,170.9,1205.82,14204.14,26.12,129.9,23.73,620.87,6871.55,170.86,485.36,731.93,26.12,129.9,19.88,49.32,176.13,4.3,5.88,2.69,4.54,5.7,11.99,14.51,6.25,275171.17,376334490.05,2689340348.25,0,0,767676.17,928665406.74,6246137640.94,100%,100%,100%,100%,100%,100%,100%,100%,14,14,14
08:56:14,29,39,17,38,33,100,83,39,1856000,2496000000,17000000000,0,0,6400000,5312000000,39000000000,68.17,1240.54,12006.06,14.76,47.76,20.15,471.04,7094.87,68.07,586.59,558.18,14.76,47.76,19.87,41.11,62.36,5.61,7.5,3.26,7.12,6.26,19.64,16.06,7.19,358736.69,479780913.21,3259834735.55,0,0,1257176.88,1027627294.36,7189999773.43,100%,100%,100%,100%,100%,100%,100%,100%,15,15,15
08:56:19,27,19,13,35,31,60,70,33,1728000,1216000000,13000000000,0,0,3840000,4480000000,33000000000,53.11,1029.53,9683.69,622.57,47.55,225,928.94,5851.88,53.07,365.21,635.15,622.57,47.55,224.77,498.37,71.39,5.06,3.71,2.67,7.27,6.22,12.43,14.65,6.39,323934.04,237659465.55,2668970053.39,0,0,795826.9,937707136.05,6394425522.91,100%,100%,100%,100%,100%,100%,100%,100%,16,16,16
08:56:24,30,29,8,45,39,99,109,46,1920000,1856000000,8000000000,0,0,6336000,6976000000,46000000000,96.83,726,9137,17.51,52.28,23.66,414.23,7071.24,96.8,268.69,595.25,17.51,52.28,23.43,45.67,517.57,6.45,6.03,1.68,9.37,8.02,20.11,22.11,9.52,412494.11,386111693.57,1677227061.26,0,0,1287228.71,1414916725.56,9519436527.51,100%,100%,100%,100%,100%,100%,100%,100%,17,17,17
08:56:29,30,34,13,45,35,90,105,39,1920000,2176000000,13000000000,0,0,5760000,6720000000,39000000000,91.13,894.82,8394.38,36.84,54.83,27.79,487.59,6603.85,91.13,419.62,526.85,36.84,54.83,27.52,46.6,67.54,6,6.46,2.61,8.89,6.61,17.67,20.61,7.7,383725.13,413494949.13,2606672645.78,0,0,1130727.07,1319304810.53,7699640377.99,100%,100%,100%,100%,100%,100%,100%,100%,18,18,18
08:56:34,26,23,13,36,22,74,60,45,1664000,1472000000,13000000000,0,0,4736000,3840000000,45000000000,62.69,765.91,8489.62,21.47,58.23,33.04,516.08,6616,62.69,322.96,237.62,21.47,58.23,32.81,60.65,59.27,5.54,4.59,2.77,7.04,4.4,13.8,11.78,8.93,354338.84,293673759.44,2766417535.13,0,0,883472.43,753929985.39,8930810351.13,100%,100%,100%,100%,100%,100%,100%,100%,19,19,19
08:56:39,28,24,8,23,37,90,83,50,1792000,1536000000,8000000000,0,0,5760000,5312000000,50000000000,782.57,628.04,8780.38,25.7,1386.62,132.2,809.87,6807.36,782.57,271.83,434.38,25.7,1386.62,132.01,482.47,442.12,5.46,4.46,1.56,4.52,7.29,17.1,16.08,9.28,349270.1,285427044.98,1558704381.91,0,0,1094285.6,1028992222.94,9283841171.69,100%,100%,100%,100%,100%,100%,100%,100%,20,20,20
08:56:44,23,20,7,28,28,62,73,39,1472000,1280000000,7000000000,0,0,3968000,4672000000,39000000000,65.22,1391.5,10604.43,132.86,49.29,21.39,641.62,6582.56,65.17,705.5,456,132.82,49.29,21.02,85.64,81.15,4.08,3.73,1.4,5.14,5.22,11.26,13.31,7.41,261150.16,238776854.75,1401002487.52,0,0,720873.56,851717415.18,7408124580.53,100%,100%,100%,100%,100%,100%,100%,100%,21,21,21
