Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,32,37,7,45,30,95,97,42,2048000,2368000000,7000000000,0,0,6080000,6208000000,42000000000,2588.31,3595.86,9450.14,3340.4,12.13,1651.68,1903,9682.1,2588.25,426.76,459.14,3340.4,12.13,1651.17,1436.79,3139.29,0.11,0.13,0.02,0.15,0.1,0.32,0.33,0.14,6951.17,8017400.57,23636057.52,0,0,20615.04,21044212.98,142139617.42,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,47,51,28,72,64,158,137,66,3008000,3264000000,28000000000,0,0,10112000,8768000000,66000000000,1785.68,3263.12,11756.68,2413.22,2070.27,3096.9,2550.09,9881.03,1785.6,457.69,500.04,2413.22,2070.27,3096.44,2120.49,3495.05,0.08,0.09,0.05,0.12,0.11,0.27,0.23,0.11,5065.83,5494688.27,47182961.58,0,0,17017.21,14760307.37,111164204.48,100%
100%
100%
100%
100%
100%
100%
100%
