Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,75,79,35,113,103,233,228,117,4800000,5056000000,35000000000,0,0,14912000,14592000000,117000000000,67.19,876.63,7569.51,37.94,48.57,42.84,489.02,6110.14,67.11,442.2,395.34,37.93,48.57,40.9,68.07,92.46,0.25,0.27,0.12,0.38,0.35,0.79,0.77,0.39,16219.98,17095078,118237542.52,0,0,50394.85,49317429.04,394688983.13,100%
100%
100%
100%
100%
100%
100%
100%
write,write,write,list,delete,read,read,read,write,write,write,list,delete,read,read,read,156,160,69,195,187,497,487,230,9984000,10240000000,69000000000,0,0,31808000,31168000000,230000000000,123.24,901.35,9804.29,16.11,61.83,30.65,413.25,5626.42,123.14,449.58,503.68,16.11,61.83,30.01,44.66,59.72,0.26,0.27,0.12,0.33,0.32,0.84,0.82,0.39,16873.67,17300041.45,116615197.44,0,0,53771.46,52701665.56,389000394.76,100%
100%
100%
100%
100%
100%
100%
100%
