Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:52:04,25,32,13,39,41,92,87,45,1600000,2048000000,13000000000,0,0,5888000,5568000000,45000000000,59.04,776.53,8370.38,12.21,65.98,29.7,486.97,6543,59.04,298.84,407.54,12.21,65.98,29.45,55,90.16,4.72,6.2,2.75,7.11,7.91,18.31,17.71,8.98,302077.71,397019239.36,2747536103.04,0,0,1171880.95,1133598937.51,8978725177.55,100%,100%,100%,100%,100%,100%,100%,100%,44,44,44
08:52:09,23,24,12,36,26,82,74,36,1472000,1536000000,12000000000,0,0,5248000,4736000000,36000000000,130.09,774.71,9573,20.69,49.04,49.2,485.23,6582.75,130,263.46,507.92,20.69,49.04,48.98,62.69,56.03,4.83,4.96,2.29,7.44,5.14,16.43,14.48,7.64,309421.04,317731805.13,2291891910.37,0,0,1051382.17,926716747.47,7636960330.17,100%,100%,100%,100%,100%,100%,100%,100%,45,45,45
08:52:14,26,34,12,41,37,104,87,46,1664000,2176000000,12000000000,0,0,6656000,5568000000,46000000000,668.85,770.68,9210.25,19.22,710.59,211.92,464.1,6132.96,668.73,262.06,474,19.22,710.59,209.64,84.75,74.3,5.5,6.94,2.66,8.37,7.85,21.94,17.8,9.02,351958.94,444050759.04,2661587545.39,0,0,1404113.72,1139411089.58,9018171477.3,100%,100%,100%,100%,100%,100%,100%,100%,46,46,46
08:52:19,30,23,12,37,31,88,93,38,1920000,1472000000,12000000000,0,0,5632000,5952000000,38000000000,105.63,608.52,9175.25,298.81,51.77,219.52,461.32,6393,105.53,246.39,554.83,298.81,51.77,219.31,60.28,70.05,6.15,4.7,2.25,7.96,5.73,16.96,18.29,7.48,393821.81,300840056.41,2249272919,0,0,1085199.43,1170407808.7,7481663157.45,100%,100%,100%,100%,100%,100%,100%,100%,47,47,47
08:52:24,23,20,7,30,24,63,60,30,1472000,1280000000,7000000000,0,0,4032000,3840000000,30000000000,198.61,921.7,10514,16.73,63.25,19.22,570.68,7334.67,198.48,415.75,611.71,16.73,63.25,18.94,58.17,72,4.44,4.2,1.39,5.76,5.07,12.82,12.29,6.28,283967.31,269067231.51,1388958236.28,0,0,820526.07,786772906.77,6281703752.99,100%,100%,100%,100%,100%,100%,100%,100%,48,48,48
08:52:29,33,33,19,43,52,91,105,46,2112000,2112000000,19000000000,0,0,5824000,6720000000,46000000000,94.82,826.76,10706.95,25.67,47.44,22.57,532.19,7828.41,94.73,346.12,361.79,25.67,47.44,20.1,55,548.24,6.41,6.36,3.79,9.01,9.91,18.33,20.5,9.19,410338.21,406860453.1,3794510024.83,0,0,1173145.02,1311801454.65,9186806122.27,100%,100%,100%,100%,100%,100%,100%,100%,49,49,49
08:52:34,29,25,8,42,37,81,69,38,1856000,1600000000,8000000000,0,0,5184000,4416000000,38000000000,184.69,981.24,11195.62,436.02,55.73,131.74,719.41,6395.71,184.66,458.04,838.25,436.02,55.73,128.95,314.46,74.55,6.17,4.89,1.75,9.35,7.51,17.02,14.94,7.4,395110.4,312765313.96,1754484358.09,0,0,1089544.64,956061206.05,7399424436.27,100%,100%,100%,100%,100%,100%,100%,100%,50,50,50
08:52:39,24,21,8,44,46,101,87,50,1536000,1344000000,8000000000,0,0,6464000,5568000000,50000000000,117.58,699.62,10366.5,16.59,57.3,32.01,465.76,7283.2,117.54,361,895.12,16.59,57.3,27.42,70.1,187.94,4.98,3.97,1.61,9.69,9.27,20.56,18.29,9.62,318446.03,253787627.62,1606662596.14,0,0,1315540.3,1170437402.11,9623551245.89,100%,100%,100%,100%,100%,100%,100%,100%,51,51,51
08:52:44,26,19,13,23,22,68,66,45,1664000,1216000000,13000000000,0,0,4352000,4224000000,45000000000,74.08,887.79,8933.31,19.48,49.73,75.53,503.17,6493.2,74,436.89,232.31,19.48,49.73,75.31,65.7,132.91,4.8,3.89,2.6,4.38,4.16,13,12.31,8.54,306985.02,248681271.75,2599195348.74,0,0,831757.06,787993062.96,8538075686.34,100%,100%,100%,100%,100%,100%,100%,100%,52,52,52
08:52:49,24,34,14,39,36,80,80,40,1536000,2176000000,14000000000,0,0,5120000,5120000000,40000000000,59.08,847.56,9149,22.9,59.72,22.93,501.36,6805.5,59.08,452.29,359.93,22.9,59.72,22.73,53.96,78.35,4.84,6.85,2.6,7.27,7.12,15.2,15.96,7.57,309528.81,438376805.23,2598869825.5,0,0,973093.16,1021362366.1,7574833656.82,100%,100%,100%,100%,100%,100%,100%,100%,53,53,53
08:52:54,29,28,13,35,23,71,61,31,1856000,1792000000,13000000000,0,0,4544000,3904000000,31000000000,867.97,1716.32,8699.54,780.46,690.22,829.07,608.66,6734.48,867.93,352.93,562.92,780.46,690.22,828.79,91.25,80.39,6.35,6.59,2.58,7.58,4.2,13.68,13.25,6.18,406605.02,421461246.09,2580013263.75,0,0,875378,847967041.88,6182597108.33,100%,100%,100%,100%,100%,100%,100%,100%,54,54,54
08:52:59,34,33,14,33,34,97,75,46,2176000,2112000000,14000000000,0,0,6208000,4800000000,46000000000,123.29,797.52,9003.29,31.42,52.76,37.39,520.68,6580.52,123.15,405.55,609.43,31.42,52.76,37.18,71.77,74.17,7.35,7.21,2.75,6.78,6.75,20.52,15.17,9.44,470633.68,461391075.72,2749542885.86,0,0,1313408.86,970822313.46,9436511504.21,100%,100%,100%,100%,100%,100%,100%,100%,55,55,55
08:53:04,31,28,9,37,33,77,79,36,1984000,1792000000,9000000000,0,0,4928000,5056000000,36000000000,90.9,709,8291.56,18.22,54.55,36.52,553.62,6654.72,90.84,282.14,175.78,18.22,54.55,36.31,88.81,62.39,6.64,6.14,1.81,8.37,7.1,17.2,17.06,7.75,425127.36,392756850.53,1811926901.15,0,0,1100782.13,1092133863.46,7747917675.73,100%,100%,100%,100%,100%,100%,100%,100%,56,56,56
08:53:09,16,15,18,19,33,61,58,45,1024000,960000000,18000000000,0,0,3904000,3712000000,45000000000,182.94,868.4,10187.44,39,400.73,213.51,446.78,6933.56,182.88,303.4,639.72,39,400.73,213.26,50.64,128.96,3.49,2.75,3.23,3.94,6.27,11.02,11.6,8.88,223233.02,175775247.24,3232105040.43,0,0,705584.53,742562352.36,8876657906.71,100%,100%,100%,100%,100%,100%,100%,100%,57,57,57
08:53:14,23,23,8,34,30,81,69,33,1472000,1472000000,8000000000,0,0,5184000,4416000000,33000000000,310.83,937.17,11070.75,308.5,49.97,245.95,892.71,6499.39,310.74,425.04,204,308.5,49.97,245.75,359.28,77.3,4.61,4.42,1.6,6.44,5.92,16.25,14.08,6.09,295077.11,282807198.74,1600177697.12,0,0,1040241.96,901364447.84,6093354728.86,100%,100%,100%,100%,100%,100%,100%,100%,58,58,58
08:53:19,25,24,7,21,25,56,59,21,1600000,1536000000,7000000000,0,0,3584000,3776000000,21000000000,279.44,920.12,11807.86,25,64.24,32.59,476.64,6188.62,279.32,489.58,364.71,25,64.24,32.34,59.95,95.9,14.18,10.92,1.53,11.09,13.06,23.81,30.16,5.26,907700.95,698857913.88,1532508720.59,0,0,1523932.77,1930056010.44,5261009980.26,100%,100%,100%,100%,100%,100%,100%,100%,59,59,59
08:53:24,1,1,0,0,0,1,3,3,64000,64000000,0,0,0,64000,192000000,3000000000,96,1123,N/A,N/A,N/A,72,1512.67,4724.67,96,384,N/A,N/A,N/A,71,148.33,74.67,0.21,0.41,0,0,0,0.31,1.02,0.63,13327.78,25995125.91,0,0,0,19565.88,65126889.9,631554661.5,100%,100%,N/A,N/A,N/A,100%,100%,100%,60,60,60
08:53:29,2,1,0,1,1,2,3,3,128000,64000000,0,0,0,128000,192000000,3000000000,90,672,N/A,5,4,38.5,1110.67,4724.67,90,292,N/A,5,4,38,106.33,74.67,13.72,4.4,0,4.4,4.4,13.82,14.12,0.63,878192.64,281524926.69,0,0,0,884430.75,903996628.85,631554661.5,100%,100%,N/A,100%,100%,100%,100%,100%,60,60,61
