Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:49:23,24,21,9,44,34,95,84,37,1536000,1344000000,9000000000,0,0,6080000,5376000000,37000000000,128.79,966.24,9547.89,47.07,58.88,56.49,844.74,8784.84,128.75,409.43,584.67,47.07,58.88,56.29,355.17,121.05,4.99,4.14,1.7,8.32,6.81,18.2,16.4,7.31,319135.54,265149063.18,1699671623.19,0,0,1164668.22,1049658176.86,7306632256.93,100%,100%,100%,100%,100%,100%,100%,100%,12,12,12
08:49:28,38,30,11,35,28,67,69,40,2432000,1920000000,11000000000,0,0,4288000,4416000000,40000000000,127.13,1020.63,8319,41.86,56.18,53.39,585.96,8094.35,127.08,431.43,338.82,41.86,56.18,49.97,86.41,813.93,7.22,5.69,2.21,6.81,5.6,12.87,14,7.91,462013.76,364018762.08,2210334252.38,0,0,823411.94,895693283.21,7909574253.02,100%,100%,100%,100%,100%,100%,100%,100%,13,13,13
08:49:33,32,29,14,38,26,78,79,32,2048000,1856000000,14000000000,0,0,4992000,5056000000,32000000000,125.88,883.93,9022,162.84,83.58,43.31,704.7,7591.12,125.81,314.38,315.64,162.84,83.58,43.1,214.59,89.12,6.23,5.69,2.57,7.35,4.86,14.95,14.84,5.9,398558.03,364195104.03,2572721188.6,0,0,956823.4,950074418.91,5896797831.33,100%,100%,100%,100%,100%,100%,100%,100%,14,14,14
08:49:38,27,21,12,32,34,58,77,39,1728000,1344000000,12000000000,0,0,3712000,4928000000,39000000000,117.41,946.05,10153.42,44.22,55.94,39.45,601.51,7556.67,117.37,387.9,497.5,44.22,55.94,35.78,103.34,101.28,5.27,4.23,2.29,6.36,6.71,11.49,15.12,7.61,337422.53,270652407.2,2285315756.93,0,0,735353.88,967844797.82,7607499614.67,100%,100%,100%,100%,100%,100%,100%,100%,15,15,15
08:49:43,31,30,13,39,33,64,47,32,1984000,1920000000,13000000000,0,0,4096000,3008000000,32000000000,122.87,1393.6,9103.15,40.21,55.36,821.2,671.64,7124.12,122.77,389.17,611.46,40.21,55.36,817.67,151.34,98.56,6.22,5.63,2.56,7.62,7.14,13.06,9.42,6.25,398068.26,360225882.61,2562265240.56,0,0,835743.86,602938266.18,6245778522.28,100%,100%,100%,100%,100%,100%,100%,100%,16,16,16
08:49:48,29,25,11,26,19,69,71,26,1856000,1600000000,11000000000,0,0,4416000,4544000000,26000000000,100.62,960.6,9623.64,55.69,46.47,56.12,630.11,7847.58,100.38,503.6,736.64,55.69,46.47,55.9,90.31,504.65,6.36,5.51,1.96,6.26,3.9,16.12,16.14,4.99,406807.39,352772765.53,1959346879.87,0,0,1031669.53,1032893229.18,4985609258.51,100%,100%,100%,100%,100%,100%,100%,100%,17,17,17
08:49:53,24,24,18,24,30,70,78,34,1536000,1536000000,18000000000,0,0,4480000,4992000000,34000000000,140.29,973.25,11677.61,36.33,50.83,65.73,620.45,8333.38,140.12,521.75,619,36.33,50.83,65.49,112.68,90.21,5.23,5.06,3.6,5.17,6.01,14.32,16.89,6.77,334653.48,323879633.24,3601150388.45,0,0,916637.46,1081109846.2,6769739186.26,100%,100%,100%,100%,100%,100%,100%,100%,18,18,18
08:49:59,25,18,10,33,16,67,72,32,1600000,1152000000,10000000000,0,0,4288000,4608000000,32000000000,83.48,965.61,11402.9,31.82,61,54.9,1053.06,7856.44,83.36,397.72,609.2,31.82,61,54.75,459.9,93.78,4.45,3.39,1.94,6.08,2.99,12.6,13.47,6.41,284834.72,217237915.07,1939644500.06,0,0,806696.42,861921777.59,6414489608.52,100%,100%,100%,100%,100%,100%,100%,100%,19,19,19
08:50:04,34,24,11,30,29,76,68,38,2176000,1536000000,11000000000,0,0,4864000,4352000000,38000000000,581.24,2037.54,9743.09,37.8,79.9,309.14,747.78,8030.61,581.24,454.83,487.82,37.8,79.9,306.3,95.74,102.42,6.78,4.29,2.1,5.65,5.86,15.11,13.35,7.23,433670.55,274486087.64,2096337107.48,0,0,967195.57,854667379.3,7233290347.98,100%,100%,100%,100%,100%,100%,100%,100%,20,20,20
08:50:09,18,20,11,39,25,74,55,45,1152000,1280000000,11000000000,0,0,4736000,3520000000,45000000000,191.56,919.15,9958,40,68,80.5,749.91,6703.16,191.5,395,305.55,39.97,68,74.84,129.98,113.04,3.6,3.81,2.55,7.65,5.29,15.16,11.03,8.96,230592.03,243790223.76,2547963450.49,0,0,970470.31,706233698.79,8956792387.85,100%,100%,100%,100%,100%,100%,100%,100%,21,21,21
08:50:14,31,30,10,41,33,86,91,43,1984000,1920000000,10000000000,0,0,5504000,5824000000,43000000000,93.45,750.53,7244,266.22,86.39,32.26,477.48,7189.3,93.35,329.6,353.6,266.22,86.39,32.06,51.35,74.7,5.66,5.83,1.77,7.12,6.25,16.37,17.6,8.48,362559.07,373304975.16,1772751007.85,0,0,1047770.08,1126300852.8,8483320976.5,100%,100%,100%,100%,100%,100%,100%,100%,22,22,22
08:50:19,24,26,9,32,26,58,78,39,1536000,1664000000,9000000000,0,0,3712000,4992000000,39000000000,103.88,723.35,7964.44,27.41,64.38,48.72,561.36,7430.13,103.83,332.92,272,27.41,64.38,45.07,87.74,93.95,4.68,5.2,1.61,6.67,5.36,11.9,15.77,7.72,299391.25,332686175.31,1609479016.43,0,0,761802.3,1009495256.97,7717031654.69,100%,100%,100%,100%,100%,100%,100%,100%,23,23,23
